Name,Gender,Institution,Category,Subcategory,h-index,Year
Ryan P. Lively,Male,Georgia Institute of Technology,Unknown,,58,2018
Tammy Ma,Female,Lawrence Livermore National Laboratory (LLNL),National Lab,,66,2018
Themis Mastoridis,Male,California Polytechnic State University,University,Other,N/A,2018
Zach Meisel,Male,Ohio University,University,Other,36,2018
Siddharth Misra,Unknown,The University of Oklahoma,University,Other,49,2018
Karen L. Mulfort,Female,Argonne National Laboratory (ANL),National Lab,,35,2018
Jacquelyn Noronha-Hostler,Female,Rutgers University,University,Other,47,2018
Colin Ophus,Male,Lawrence Berkeley National Lab (LBNL),Unknown,,56,2018
Paris Perdikaris,Male,University of Pennsylvania,University,Ivy League,49,2018
Nicola Perry,Female,University of Illinois,University,Other,28,2018
David Powers,Male,Texas A&M University,University,Other,40,2018
Kerri A. Pratt,Female,University of Michigan,University,State/Public,N/A,2018
Benjamin Safdi,Male,University of Michigan,University,State/Public,49,2018
Omer San,Male,Oklahoma State University,University,Other,70,2018
Hee-Jong Seo,Unknown,Ohio University,University,Other,80,2018
Julian Shun,Male,Massachusetts Institute of Technology,University,Private,35,2018
Meredith N. Silberstein,Female,Cornell University,University,Ivy League,N/A,2018
David Simmons-Duffin,Male,California Institute of Technology,University,Private,48,2018
Jaideep Taggart Singh,Unknown,Michigan State University,University,Other,N/A,2018
Zachary P. Smith,Male,Massachusetts Institute of Technology,University,Private,39,2018
Aritoki Suzuki,Unknown,Lawrence Berkeley National Laboratory (LBNL),National Lab,,N/A,2018
Ming Tang,Unknown,Rice University,University,Private,55,2018
Ming Lee Tang,Unknown,"University of California, Riverside",University,Other,46,2018
Kazuhiro Terao,Male,SLAC National Accelerator Laboratory,National Lab,,52,2018
Javier Tiffenberg,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,54,2018
Wang-Kong Tse,Unknown,University of Alabama,University,Other,23,2018
Anne-Marie Valente-Feliciano,Female,Thomas Jefferson National Accelerator Facility,National Lab,,N/A,2018
Romain Vasseur,Male,University of Massachusetts Amherst,University,Other,47,2018
Anselm Vossen,Male,Duke University,University,Private,N/A,2018
Luisa Whittaker-Brooks,Female,University of Utah,University,Other,29,2018
Haixuan Xu,Unknown,The University of Tennessee,University,Other,29,2018
Xiaoshan Xu,Unknown,University of Nebraska-Lincoln,University,Other,37,2018
Rachel P. Yohay,Female,Florida State University,University,Other,N/A,2018
Guihua Yu,Unknown,The University of Texas at Austin,University,State/Public,188,2018
Joel Yuen-Zhou,Male,University of California San Diego,University,Other,38,2018
Philipp Zerbe,Male,"University of California, Davis",University,Other,37,2018
Alex Zylstra,Male,Los Alamos National Laboratory (LANL),National Lab,,51,2018
Robert Ainsworth,Male,Fermi National Accelerator Laboratory,National Lab,,N/A,2020
Jonathan Asaadi,Male,The University of Texas at Arlington,University,Other,108,2020
Jason Azoulay,Male,University of Southern Mississippi,University,Other,35,2020
Bryan Beckingham,Male,Auburn University,University,Other,18,2020
D. Kwabena Bediako,Unknown,"University of California, Berkeley",University,State/Public,27,2020
Michael Bishof,Male,Argonne National Laboratory,National Lab,,182,2020
Jennifer Bridwell-Rabb,Female,University of Michigan,University,State/Public,17,2020
Maria Chan,Female,Argonne National Laboratory,National Lab,,46,2020
Manos Chatzopoulos,Male,Louisiana State University,University,Other,N/A,2020
Federica Coppari,Female,Lawrence Livermore National Laboratory,National Lab,,N/A,2020
Amy Cordones-Hahn,Female,SLAC National Accelerator Laboratory,National Lab,,23,2020
Joseph Cotruvo,Male,Pennsylvania State University,University,Other,26,2020
Arun Devaraj,Male,Pacific Northwest National Laboratory,National Lab,,37,2020
Javier Duarte,Male,The Regents of the University of California – UCSD,University,Other,229,2020
Christine E. Duval,Female,Case Western Reserve University,University,Other,9,2020
Joanne B. Emerson,Female,"University of California, Davis",University,Other,34,2020
Li Fang,Unknown,University of Central Florida,University,Other,75,2020
Kevin G. Field,Male,2355 Bonisteel Blvd.,Unknown,,N/A,2020
Laura Fields,Female,Fermi National Accelerator Laboratory,National Lab,,89,2020
Benjamin Frandsen,Male,Brigham Young University,University,Other,25,2020
Ronald Fernando Garcia Ruiz,Male,Massachusetts Institute of Technology,University,Private,35,2020
Benedikt Geiger,Male,University of Wisconsin – Madison,University,Other,45,2020
Dustin A. Gilbert,Male,University of Tennessee,University,Other,31,2020
Ranganathan Gopalakrishnan,Male,The University of Memphis,University,Other,17,2020
Marco Govoni,Male,Argonne National Laboratory (ANL),National Lab,,30,2020
Heather Gray,Female,The Regents of University of California,University,Other,253,2020
Wendy Gu,Female,Stanford University,University,Private,24,2020
Matthew Hoffman,Male,Los Alamos National Laboratory,National Lab,,39,2020
Wanzheng Hu,Unknown,Boston University,University,Other,28,2020
Paul W. Humrickhouse,Male,Idaho National Laboratory,National Lab,,N/A,2020
Jonathan Jarvis,Male,Fermi National Accelerator Laboratory,National Lab,,10,2020
Luchang Jin,Unknown,University of Connecticut,University,Other,31,2020
Siddharth Karkare,Unknown,Arizona State University,University,Other,25,2020
Trevor F. Keenan,Male,UC Berkeley,Unknown,,70,2020
Vedika Khemani,Unknown,Stanford University,University,Private,40,2020
Laura Lammers,Female,Lawrence Berkeley National Laboratory,National Lab,,23,2020
Kyle G. Leach,Female,Colorado School of Mines,Unknown,,31,2020
Hugh Lippincott,Male,Regents of the University of California,University,Other,N/A,2020
Alessandro Lovato,Male,Argonne National Laboratory,National Lab,,34,2020
Manthiram,Unknown,Massachusetts Institute of Technology,University,Private,172,2020
Elijah H. Martin,Male,Oak Ridge National Laboratory,National Lab,,14,2020
Jarad A. Mason,Unknown,Harvard University,University,Ivy League,47,2020
Phillip Milner,Male,Cornell University,University,Ivy League,29,2020
Michael Mooney,Male,Colorado State University,University,Other,204,2020
Gary F. Moore,Male,Arizona State University,University,Other,32,2020
Bogdan Nicolae,Male,Argonne National Laboratory,National Lab,,24,2020
Erin E Nuccio,Female,Lawrence Livermore National Laboratory,National Lab,,22,2020
Brendan O'Shea,Male,SLAC National Accelerator Laboratory,National Lab,,21,2020
Christina M. Patricola,Female,Iowa State University,University,Other,37,2020
Bei Wang Phillips,Unknown,University of Utah,University,Other,28,2020
Kemp Plumb,Unknown,Brown University,University,Ivy League,15,2020
David Radice,Male,The Pennsylvania State University,University,Other,55,2020
Simon Roux,Male,Lawrence Berkeley National Laboratory,National Lab,,67,2020
Justin B. Sambur,Male,Colorado State University,University,Other,N/A,2020
Lado Samushia,Male,Kansas State University,University,Other,55,2020
Bayrammurad Saparov,Unknown,University of Oklahoma,University,Other,40,2020
Nobuo Sato,Male,Thomas Jefferson National Accelerator Facility,National Lab,,37,2020
Phiala Shanahan,Unknown,Massachusetts Institute of Technology,University,Private,38,2020
James Shepherd,Male,University of Iowa,University,Other,21,2020
Louise Skinnari,Female,Northeastern University,University,Other,220,2020
Douglas Stanford,Male,Board of Trustees of the Leland Stanford Junior University,University,Other,171,2020
Benjamin N. Sulman,Male,Oak Ridge National Laboratory,National Lab,,31,2020
Dali Sun,Female,North Carolina State University,University,Other,26,2020
Wenhao Sun,Unknown,University of Michigan,University,State/Public,57,2020
Nathaniel Trask,Male,Sandia National Laboratories,National Lab,,26,2020
Michael A. Troxel,Male,Duke University,University,Private,N/A,2020
Wim M. van Rees,Male,Massachusetts Institute of Technology,University,Private,15,2020
Tuo Wang,Unknown,Louisiana State University,University,Other,40,2020
Chen Wang,Unknown,"University of Massachusetts, Amherst",University,Other,54,2020
Stefan M. Wild,Male,"Laboratory for Applied Mathematics, Numerical Software, and Statistics",Unknown,,43,2020
Huolin Xin,Unknown,University of California,University,Other,96,2020
Ming Yi,Unknown,Rice University,University,Private,38,2020
Kevin C. Young,Male,Sandia National Laboratories,National Lab,,N/A,2020
Tong Zhou,Unknown,Lawrence Berkeley National Laboratory,National Lab,,61,2020
Corey Adams,Male,Argonne National Laboratory,National Lab,,42,2021
Ariful Azad,Unknown,Indiana University,University,Other,26,2021
Marcel D. Baer,Male,Pacific Northwest National Laboratory,National Lab,,N/A,2021
Miles F. Beaux II,Male,Los Alamos National Laboratory,National Lab,,N/A,2021
Matthew T. Beidler,Male,Oak Ridge National Laboratory,National Lab,,N/A,2021
Lindsey Bleem,Female,Argonne National Laboratory,National Lab,,82,2021
Mark D. Boyer II,Male,Princeton Plasma Physics Laboratory,National Lab,,N/A,2021
Penghui Cao,Unknown,"University of California, Irvine",University,Other,25,2021
Si Chen,Unknown,Argonne National Laboratory,National Lab,,53,2021
Benjamin J. Cole,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A,2021
Riccardo Comin,Male,Massachusetts Institute of Technology,University,Private,86,2021
Melina Avila Coronado,Female,Argonne National Laboratory,National Lab,,N/A,2021
Heather Crawford,Female,Lawrence Berkeley National Laboratory,National Lab,,35,2021
Melissa A. Cregger,Female,Oak Ridge National Laboratory,National Lab,,N/A,2021
Anup K. Das,Unknown,Drexel University,University,Other,37,2021
Sheng Di,Unknown,Argonne National Laboratory,National Lab,,40,2021
Gregory Doerk,Male,Brookhaven National Laboratory,National Lab,,26,2021
J. Matthew Durham,Unknown,Los Alamos National Laboratory,National Lab,,99,2021
Manuel Endres,Male,California Institute of Technology,University,Private,30,2021
Netta Engelhardt,Female,Massachusetts Institute of Technology,University,Private,24,2021
Mengjia Gaowei,Unknown,Brookhaven National Laboratory,National Lab,,16,2021
Mona Ghassemi,Female,Virginia Polytechnic Institute and State University,University,Other,29,2021
Loren Greenman,Male,Kansas State University,University,Other,N/A,2021
Xiaodan Gu,Unknown,The University of Southern Mississippi,University,Other,56,2021
Philip Harris,Male,Massachusetts Institute of Technology,University,Private,63,2021
Kai He,Male,Clemson University,University,Other,38,2021
Russell J. Hewett,Male,Virginia Polytechnic Institute and State University,University,Other,8,2021
Edward G. Hohenstein,Male,SLAC National Accelerator Laboratory,National Lab,,48,2021
Jin Hu,Female,University of Arkansas,University,Other,95,2021
Shu Hu,Unknown,Yale University,University,Ivy League,54,2021
Gabriel Isaacman-VanWertz,Male,Virginia Polytechnic Institute and State University,University,Other,35,2021
Katherine Isaacs,Female,The University of Arizona,University,Other,18,2021
Andrew Jayich,Male,"University of California, Santa Barbara",University,Other,19,2021
Christopher Johnson,Male,Stony Brook University,University,Other,70,2021
Jovan Kamcev,Male,University of Michigan,University,State/Public,27,2021
Drew P. Kouri,Male,Sandia National Laboratories,National Lab,,N/A,2021
Roopali Kukreja,Unknown,University of California Davis,University,Other,22,2021
James Letts,Male,"University of California, Davis",University,Other,18,2021
Xinle Li,Unknown,Clark Atlanta University,University,Other,33,2021
Mingda Li,Unknown,Massachusetts Institute of Technology,University,Private,30,2021
Fankang Li,Unknown,Oak Ridge National Laboratory,National Lab,,15,2021
Tongyan Lin,Unknown,"University of California, San Diego",University,State/Public,N/A,2021
Ben Loer,Male,Pacific Northwest National Laboratory,National Lab,,N/A,2021
Xueying Lu,Unknown,Northern Illinois University,University,Other,10,2021
Tara Mastren,Female,University of Utah,University,Other,20,2021
Emma Elizabeth McBride,Female,SLAC National Accelerator Laboratory,National Lab,,23,2021
Charles C. L. McCrory,Male,University of Michigan,University,State/Public,N/A,2021
Julia A. Mundy,Female,Harvard University,University,Ivy League,30,2021
Guangxin Ni,Unknown,Florida State University,University,Other,27,2021
Brian Nord,Male,Fermi National Accelerator Laboratory,National Lab,,73,2021
Simone Pagan Griso,Female,Lawrence Berkeley National Laboratory,National Lab,,24,2021
Diana Parno,Female,Carnegie Mellon University,University,Other,38,2021
Maria Piarulli,Female,Washington University in St. Louis,University,Private,22,2021
Craig Plaisance,Male,Louisiana State University,University,Other,15,2021
Diana Y. Qiu,Female,Yale University,University,Ivy League,28,2021
Mohammad Javad Abdolhosseini Qomi,Male,University of California Irvine,University,Other,31,2021
Kiersten Ruisard,Female,Oak Ridge National Laboratory,National Lab,,6,2021
Robert Saye,Male,Lawrence Berkeley National Laboratory,National Lab,,13,2021
Srimoyee Sen,Unknown,Iowa State University,University,Other,15,2021
Christo S. Sevov,Unknown,The Ohio State University,University,State/Public,N/A,2021
Chun Shen,Unknown,Wayne State University,University,Other,54,2021
Daisuke Shiraki,Male,Oak Ridge National Laboratory,National Lab,,31,2021
Indara Suarez,Unknown,Boston University,University,Other,4,2021
Nathan Tallent,Male,Pacific Northwest National Laboratory,National Lab,,21,2021
Aditya V. Thakur,Male,"University of California, Davis",University,Other,20,2021
V. Sara Thoi,Unknown,Johns Hopkins University,University,Private,24,2021
Marcos Turqueti,Male,Lawrence Berkeley National Laboratory,National Lab,,14,2021
Petros Tzeferacos,Male,University of Rochester,University,Other,25,2021
Caterina Vernieri,Female,SLAC National Accelerator Laboratory,National Lab,,N/A,2021
Hao-Yi Wu,Unknown,Boise State University,University,Other,31,2021
Dianne Xiao,Female,University of Washington,University,State/Public,22,2021
Jie Xu,Unknown,"University of Texas, El Paso",University,Other,32,2021
Xue Zheng,Unknown,Lawrence Livermore National Laboratory,National Lab,,66,2021
Qiang Zhu,Unknown,University of Nevada Las Vegas,University,Other,42,2021
