Name,Gender,Institution,Category,Subcategory,h-index,Year
Jennifer Louise Pore,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A,2024
Wei Qin,Unknown,University of Oklahoma,University,Other,49,2024
Lina Quan,Female,Virginia Polytechnic Institute and State University,University,Other,43,2024
Dylan Rankin,Male,University of Pennsylvania,University,Ivy League,N/A,2024
Alex J. Rinehart,Male,New Mexico Tech,Unknown,,N/A,2024
Sourabh K. Saha,Unknown,Georgia Institute of Technology,Unknown,,N/A,2024
Thomas Scaffidi,Male,"University of California, Irvine",University,Other,25,2024
Daniel Schwalbe-Koda,Male,"University of California, Los Angeles",University,State/Public,18,2024
Filippo Scotti,Male,Lawrence Livermore National Laboratory,National Lab,,25,2024
S. Eileen Seo,Unknown,Arizona State University,University,Other,13,2024
Kyle Seyler,Female,The University of Arizona,University,Other,25,2024
Sara Shamekh,Female,New York University,University,Private,7,2024
Yu-Tsun Shao,Unknown,University of Southern California,University,Private,24,2024
Philip Shushkov,Male,Indiana University,University,Other,14,2024
Jennifer Shusterman,Female,Lawrence Livermore National Laboratory,National Lab,,11,2024
Marien Simeni Simeni,Male,University of Minnesota,University,State/Public,13,2024
Craig Snoeyink,Male,University of Buffalo,University,Other,9,2024
Ioannis Spanopoulos,Male,University of South Florida,University,Other,45,2024
Allison H. Squires,Female,The University of Chicago,University,Private,14,2024
Xiao Su,Unknown,University of Illinois at Urbana-Champaign,University,State/Public,160,2024
Carolin M. Sutter-Fella,Female,Lawrence Berkeley National Laboratory,National Lab,,37,2024
Thi Vo,Female,Johns Hopkins University,University,Private,50,2024
Kyle Wendt,Female,Lawrence Livermore National Laboratory,National Lab,,N/A,2024
Shawn Westerdale,Male,"University of California, Riverside",University,Other,35,2024
Lea R. Winter,Female,Yale University,University,Ivy League,N/A,2024
Mitchell A. Wood,Male,Sandia National Laboratories,National Lab,,19,2024
W.L. Kimmy Wu,Unknown,SLAC National Accelerator Laboratory,National Lab,,42,2024
Yang Yang,Unknown,"University of California, Santa Barbra",University,Other,295,2024
Mingwei Zhang,Unknown,"University of California, Davis",University,Other,13,2024
Ben Zhu,Male,Lawrence Livermore National Laboratory,National Lab,,111,2024
Cristal Zuniga,Female,San Diego State University,University,Other,23,2024
Hussein Aluie,Male,University of Rochester,University,Other,27,2019
Luca Argenti,Male,University of Central Florida,University,Other,29,2019
Veronica Augustyn,Female,North Carolina State University,University,Other,32,2019
Kristin Burnum-Johnson,Female,Pacific Northwest National Laboratory,National Lab,,43,2019
Viviana Cavaliere,Female,Brookhaven National Laboratory (BNL),National Lab,,N/A,2019
Lan Cheng,Unknown,Johns Hopkins University,University,Private,95,2019
Miaofang Chi,Unknown,Oak Ridge National Laboratory (ORNL),National Lab,,95,2019
Robert Coridan,Male,University of Arkansas,University,Other,18,2019
Scott Cushing,Male,California Institute of Technology,University,Private,37,2019
Shudipto Konika Dishari,Unknown,University of Nebraska-Lincoln,University,Other,12,2019
Thomas Dumitrescu,Male,"University of California, Los Angeles",University,State/Public,24,2019
Cora Dvorkin,Female,Harvard University,University,Ivy League,53,2019
Tim Eifler,Male,University of Arizona,University,Other,88,2019
David Flaherty,Male,University of Illinois,University,Other,43,2019
Greeshma Gadikota,Unknown,Cornell University*,University,Ivy League,25,2019
Diana Gamzina,Female,SLAC National Accelerator Laboratory,National Lab,,21,2019
Arianna Gleason,Female,SLAC National Accelerator Laboratory,National Lab,,28,2019
Sowjanya Gollapinni,Unknown,University of Tennessee,University,Other,N/A,2019
Karl D. Hammond,Male,University of Missouri,University,Other,27,2019
Scott Hertel,Male,"University of Massachusetts, Amherst",University,Other,51,2019
Jier Huang,Unknown,Marquette University,University,Other,41,2019
Stratos Idreos,Male,Harvard University,University,Ivy League,42,2019
Laura Jeanty,Female,University of Oregon,University,Other,N/A,2019
M. Benjamin Jungfleisch,Unknown,University of Delaware,University,Other,36,2019
Jyoti Katoch,Female,Carnegie Mellon University,University,Other,20,2019
Kibaek Kim,Unknown,Argonne National Laboratory (ANL),National Lab,,15,2019
Elisabeth Krause,Female,University of Arizona,University,Other,80,2019
Isaac J. Larsen,Male,University of Massachusetts – Amherst,University,Other,N/A,2019
David T. Limmer,Male,"University of California, Berkeley",University,State/Public,38,2019
Lucas Lindsay,Male,Oak Ridge National Laboratory (ORNL),National Lab,,49,2019
Cara Lubner,Female,National Renewable Energy Laboratory (NREL),National Lab,,N/A,2019
Joseph M. Lukens,Male,Oak Ridge National Laboratory (ORNL),National Lab,,26,2019
Pedro Machado,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,63,2019
Vladimir Manucharyan,Male,University of Maryland,University,Other,N/A,2019
Jared Maxson,Male,Cornell University,University,Ivy League,28,2019
Ryan McBride,Male,University of Michigan,University,State/Public,35,2019
Josh Michener,Male,Oak Ridge National Laboratory,National Lab,,18,2019
