Name,Gender,h-index,Institution,Category,Subcategory,Zipcode,Program Area,Year
Paul W. Humrickhouse,Male,N/A,Idaho National Laboratory,National Lab,,83402,Basic Energy Sciences,2020
Jonathan Jarvis,Male,45,Fermi National Accelerator Laboratory,National Lab,,60510,Fusion Energy Sciences,2020
Luchang Jin,Unknown,31,University of Connecticut,University,Other,06259,Basic Energy Sciences,2020
Siddharth Karkare,Unknown,25,Arizona State University,University,Other,85287,High Energy Physics,2020
Trevor F. Keenan,Male,71,UC Berkeley,Unknown,,94720,Basic Energy Sciences,2020
Vedika Khemani,Unknown,41,Stanford University,University,Private,94305,Biological and Environmental Research,2020
Laura Lammers,Female,23,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2020
Kyle G. Leach,Female,31,Colorado School of Mines,Unknown,,80401,Nuclear Physics,2020
Hugh Lippincott,Male,N/A,Regents of the University of California,University,Other,93106,Nuclear Physics,2020
Alessandro Lovato,Male,34,Argonne National Laboratory,National Lab,,60439,High Energy Physics,2020
Manthiram,Unknown,174,Massachusetts Institute of Technology,University,Private,02139,Nuclear Physics,2020
Elijah H. Martin,Male,15,Oak Ridge National Laboratory,National Lab,,37830,Fusion Energy Sciences,2020
Jarad A. Mason,Unknown,47,Harvard University,University,Ivy League,02143,Fusion Energy Sciences,2020
Phillip Milner,Male,29,Cornell University,University,Ivy League,14850,Basic Energy Sciences,2020
Michael Mooney,Male,207,Colorado State University,University,Other,80523,Basic Energy Sciences,2020
Gary F. Moore,Male,32,Arizona State University,University,Other,85287,Basic Energy Sciences,2020
Bogdan Nicolae,Male,24,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2020
Erin E Nuccio,Female,22,Lawrence Livermore National Laboratory,National Lab,,94550,Advanced Scientific Computing Research,2020
Brendan O'Shea,Male,21,SLAC National Accelerator Laboratory,National Lab,,94025,High Energy Physics,2020
Christina M. Patricola,Female,38,Iowa State University,University,Other,50011,High Energy Physics,2020
Bei Wang Phillips,Unknown,28,University of Utah,University,Other,84112,Basic Energy Sciences,2020
Kemp Plumb,Unknown,15,Brown University,University,Ivy League,02912,Basic Energy Sciences,2020
David Radice,Male,56,The Pennsylvania State University,University,Other,16802,Basic Energy Sciences,2020
Simon Roux,Male,69,Lawrence Berkeley National Laboratory,National Lab,,94720,Biological and Environmental Research,2020
Justin B. Sambur,Male,N/A,Colorado State University,University,Other,80523,Biological and Environmental Research,2020
Lado Samushia,Male,57,Kansas State University,University,Other,66506,High Energy Physics,2020
Bayrammurad Saparov,Unknown,41,University of Oklahoma,University,Other,73019,Basic Energy Sciences,2020
Nobuo Sato,Male,37,Thomas Jefferson National Accelerator Facility,National Lab,,23602,Basic Energy Sciences,2020
Phiala Shanahan,Unknown,38,Massachusetts Institute of Technology,University,Private,02139,Nuclear Physics,2020
James Shepherd,Male,22,University of Iowa,University,Other,52242,Nuclear Physics,2020
Louise Skinnari,Female,222,Northeastern University,University,Other,02115,Basic Energy Sciences,2020
Douglas Stanford,Male,172,Board of Trustees of the Leland Stanford Junior University,University,Other,94305,High Energy Physics,2020
Benjamin N. Sulman,Male,33,Oak Ridge National Laboratory,National Lab,,37831,High Energy Physics,2020
Dali Sun,Female,26,North Carolina State University,University,Other,27695,Biological and Environmental Research,2020
Wenhao Sun,Unknown,58,University of Michigan,University,State/Public,48105,Basic Energy Sciences,2020
Nathaniel Trask,Male,26,Sandia National Laboratories,National Lab,,87123,Advanced Scientific Computing Research,2020
Michael A. Troxel,Male,N/A,Duke University,University,Private,27705,High Energy Physics,2020
Wim M. van Rees,Male,15,Massachusetts Institute of Technology,University,Private,02139,Advanced Scientific Computing Research,2020
Tuo Wang,Unknown,40,Louisiana State University,University,Other,70803,Advanced Scientific Computing Research,2020
Chen Wang,Unknown,83,"University of Massachusetts, Amherst",University,Other,01035,Basic Energy Sciences,2020
Stefan M. Wild,Male,44,"Laboratory for Applied Mathematics, Numerical Software, and Statistics",Unknown,,60439,Advanced Scientific Computing Research,2020
Huolin Xin,Unknown,97,University of California,University,Other,92697,Advanced Scientific Computing Research,2020
Ming Yi,Unknown,38,Rice University,University,Private,77005,Basic Energy Sciences,2020
Kevin C. Young,Male,N/A,Sandia National Laboratories,National Lab,,94550,Advanced Scientific Computing Research,2020
Tong Zhou,Unknown,61,Lawrence Berkeley National Laboratory,National Lab,,94720,High Energy Physics,2020
Corey Adams,Male,42,Argonne National Laboratory,National Lab,,60439,,2021
Ariful Azad,Unknown,26,Indiana University,University,Other,47401,Nuclear Physics,2021
Marcel D. Baer,Male,N/A,Pacific Northwest National Laboratory,National Lab,,99352,Advanced Scientific Computing Research,2021
Miles F. Beaux II,Male,N/A,Los Alamos National Laboratory,National Lab,,87545,Basic Energy Sciences,2021
Matthew T. Beidler,Male,N/A,Oak Ridge National Laboratory,National Lab,,37830,Basic Energy Sciences,2021
Lindsey Bleem,Female,83,Argonne National Laboratory,National Lab,,60439,Fusion Energy Sciences,2021
Mark D. Boyer II,Male,N/A,Princeton Plasma Physics Laboratory,National Lab,,08540,High Energy Physics,2021
Penghui Cao,Unknown,25,"University of California, Irvine",University,Other,92697,Fusion Energy Sciences,2021
Si Chen,Unknown,54,Argonne National Laboratory,National Lab,,60439,High Energy Physics,2021
Benjamin J. Cole,Male,N/A,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2021
Riccardo Comin,Male,88,Massachusetts Institute of Technology,University,Private,02139,Biological and Environmental Research,2021
Melina Avila Coronado,Female,N/A,Argonne National Laboratory,National Lab,,60439,Basic Energy Sciences,2021
Heather Crawford,Female,36,Lawrence Berkeley National Laboratory,National Lab,,94720,Nuclear Physics,2021
Melissa A. Cregger,Female,N/A,Oak Ridge National Laboratory,National Lab,,37830,Biological and Environmental Research,2021
Anup K. Das,Unknown,37,Drexel University,University,Other,19104,Biological and Environmental Research,2021
Sheng Di,Unknown,40,Argonne National Laboratory,National Lab,,60439,Advanced Scientific Computing Research,2021
Gregory Doerk,Male,26,Brookhaven National Laboratory,National Lab,,11973,Biological and Environmental Research,2021
J. Matthew Durham,Unknown,100,Los Alamos National Laboratory,National Lab,,87545,Nuclear Physics,2021
Manuel Endres,Male,32,California Institute of Technology,University,Private,91125,Advanced Scientific Computing Research,2021
Netta Engelhardt,Female,24,Massachusetts Institute of Technology,University,Private,02139,High Energy Physics,2021
Mengjia Gaowei,Unknown,16,Brookhaven National Laboratory,National Lab,,11973,High Energy Physics,2021
Mona Ghassemi,Female,30,Virginia Polytechnic Institute and State University,University,Other,24061,Nuclear Physics,2021
Loren Greenman,Male,N/A,Kansas State University,University,Other,66506,Fusion Energy Sciences,2021
Xiaodan Gu,Unknown,57,The University of Southern Mississippi,University,Other,39402,Basic Energy Sciences,2021
Philip Harris,Male,92,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2021
Kai He,Male,38,Clemson University,University,Other,29634,High Energy Physics,2021
Russell J. Hewett,Male,8,Virginia Polytechnic Institute and State University,University,Other,24061,Advanced Scientific Computing Research,2021
Edward G. Hohenstein,Male,49,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2021
Jin Hu,Female,96,University of Arkansas,University,Other,72701,Basic Energy Sciences,2021
Shu Hu,Unknown,55,Yale University,University,Ivy League,06510,Basic Energy Sciences,2021
Gabriel Isaacman-VanWertz,Male,36,Virginia Polytechnic Institute and State University,University,Other,24061,Basic Energy Sciences,2021
Katherine Isaacs,Female,19,The University of Arizona,University,Other,85721,Biological and Environmental Research,2021
Andrew Jayich,Male,19,"University of California, Santa Barbara",University,Other,93106,Nuclear Physics,2021
Christopher Johnson,Male,70,Stony Brook University,University,Other,11794,Nuclear Physics,2021
Jovan Kamcev,Male,28,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2021
Drew P. Kouri,Male,N/A,Sandia National Laboratories,National Lab,,87185,Basic Energy Sciences,2021
Roopali Kukreja,Unknown,23,University of California Davis,University,Other,95616,Advanced Scientific Computing Research,2021
James Letts,Male,18,"University of California, Davis",University,Other,95616,Basic Energy Sciences,2021
Xinle Li,Unknown,34,Clark Atlanta University,University,Other,30314,Basic Energy Sciences,2021
Mingda Li,Unknown,31,Massachusetts Institute of Technology,University,Private,02139,Basic Energy Sciences,2021
Fankang Li,Unknown,15,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2021
Tongyan Lin,Unknown,N/A,"University of California, San Diego",University,State/Public,92093,Basic Energy Sciences,2021
Ben Loer,Male,N/A,Pacific Northwest National Laboratory,National Lab,,99354,Nuclear Physics,2021
Xueying Lu,Unknown,11,Northern Illinois University,University,Other,60115,High Energy Physics,2021
Tara Mastren,Female,20,University of Utah,University,Other,84112,High Energy Physics,2021
Emma Elizabeth McBride,Female,24,SLAC National Accelerator Laboratory,National Lab,,94025,Isotope R&D and Production,2021
Charles C. L. McCrory,Male,N/A,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2021
Julia A. Mundy,Female,30,Harvard University,University,Ivy League,02139,Basic Energy Sciences,2021
Guangxin Ni,Unknown,28,Florida State University,University,Other,32306,Basic Energy Sciences,2021
Brian Nord,Male,74,Fermi National Accelerator Laboratory,National Lab,,60510,High Energy Physics,2021
Simone Pagan Griso,Female,24,Lawrence Berkeley National Laboratory,National Lab,,94720,High Energy Physics,2021
Diana Parno,Female,38,Carnegie Mellon University,University,Other,15213,High Energy Physics,2021
Maria Piarulli,Female,22,Washington University in St. Louis,University,Private,63130,Nuclear Physics,2021
Craig Plaisance,Male,16,Louisiana State University,University,Other,70803,Nuclear Physics,2021
Diana Y. Qiu,Female,29,Yale University,University,Ivy League,06520,Basic Energy Sciences,2021
Mohammad Javad Abdolhosseini Qomi,Male,31,University of California Irvine,University,Other,92697,Basic Energy Sciences,2021
Kiersten Ruisard,Female,6,Oak Ridge National Laboratory,National Lab,,37830,Biological and Environmental Research,2021
Robert Saye,Male,14,Lawrence Berkeley National Laboratory,National Lab,,94720,Advanced Scientific Computing Research,2021
Srimoyee Sen,Unknown,16,Iowa State University,University,Other,50011,Nuclear Physics,2021
Christo S. Sevov,Unknown,N/A,The Ohio State University,University,State/Public,43210,Nuclear Physics,2021
Chun Shen,Unknown,54,Wayne State University,University,Other,48201,Basic Energy Sciences,2021
Daisuke Shiraki,Male,31,Oak Ridge National Laboratory,National Lab,,37831,Nuclear Physics,2021
Indara Suarez,Unknown,4,Boston University,University,Other,02215,Fusion Energy Sciences,2021
Nathan Tallent,Male,22,Pacific Northwest National Laboratory,National Lab,,99352,Advanced Scientific Computing Research,2021
Aditya V. Thakur,Male,20,"University of California, Davis",University,Other,95616,Advanced Scientific Computing Research,2021
V. Sara Thoi,Unknown,24,Johns Hopkins University,University,Private,21218,Basic Energy Sciences,2021
Marcos Turqueti,Male,14,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2021
Petros Tzeferacos,Male,26,University of Rochester,University,Other,14627,Basic Energy Sciences,2021
Caterina Vernieri,Female,N/A,SLAC National Accelerator Laboratory,National Lab,,94025,Fusion Energy Sciences,2021
Hao-Yi Wu,Unknown,31,Boise State University,University,Other,83725,Basic Energy Sciences,2021
Dianne Xiao,Female,22,University of Washington,University,State/Public,98195,Basic Energy Sciences,2021
Jie Xu,Unknown,63,"University of Texas, El Paso",University,Other,79968,Basic Energy Sciences,2021
Xue Zheng,Unknown,70,Lawrence Livermore National Laboratory,National Lab,,94551,Basic Energy Sciences,2021
Qiang Zhu,Unknown,42,University of Nevada Las Vegas,University,Other,89154,Biological and Environmental Research,2021
