Name,Gender,h-index,Institution,Category,Subcategory,Zipcode,Program Area,Year
Philip Shushkov,Male,14,Indiana University,University,Other,47405,Basic Energy Sciences,2024
Jennifer Shusterman,Female,11,Lawrence Livermore National Laboratory,National Lab,,94550,Isotope R&D and Production,2024
Marien Simeni Simeni,Male,13,University of Minnesota,University,State/Public,55455,Isotope R&D and Production,2024
Craig Snoeyink,Male,9,University of Buffalo,University,Other,14260,Basic Energy Sciences,2024
Ioannis Spanopoulos,Male,45,University of South Florida,University,Other,33617,Basic Energy Sciences,2024
Allison H. Squires,Female,14,The University of Chicago,University,Private,60637,Basic Energy Sciences,2024
Xiao Su,Unknown,162,University of Illinois at Urbana-Champaign,University,State/Public,61801,Basic Energy Sciences,2024
Carolin M. Sutter-Fella,Female,38,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2024
Thi Vo,Female,51,Johns Hopkins University,University,Private,21218,Basic Energy Sciences,2024
Kyle Wendt,Female,N/A,Lawrence Livermore National Laboratory,National Lab,,94550,Nuclear Physics,2024
Shawn Westerdale,Male,36,"University of California, Riverside",University,Other,92521,Nuclear Physics,2024
Lea R. Winter,Female,N/A,Yale University,University,Ivy League,06520,High Energy Physics,2024
Mitchell A. Wood,Male,19,Sandia National Laboratories,National Lab,,87123,Basic Energy Sciences,2024
W.L. Kimmy Wu,Unknown,42,SLAC National Accelerator Laboratory,National Lab,,94025,High Energy Physics,2024
Yang Yang,Unknown,297,"University of California, Santa Barbra",University,Other,93106,Basic Energy Sciences,2024
Mingwei Zhang,Unknown,14,"University of California, Davis",University,Other,95616,Basic Energy Sciences,2024
Ben Zhu,Male,111,Lawrence Livermore National Laboratory,National Lab,,94550,Basic Energy Sciences,2024
Cristal Zuniga,Female,23,San Diego State University,University,Other,92115,,2024
Hussein Aluie,Male,27,University of Rochester,University,Other,14627,,2019
Luca Argenti,Male,29,University of Central Florida,University,Other,32826,Fusion Energy Sciences,2019
Veronica Augustyn,Female,33,North Carolina State University,University,Other,27695,Basic Energy Sciences,2019
Kristin Burnum-Johnson,Female,43,Pacific Northwest National Laboratory,National Lab,,99352,Nuclear Physics,2019
Viviana Cavaliere,Female,N/A,Brookhaven National Laboratory (BNL),National Lab,,11973,Biological and Environmental Research,2019
Lan Cheng,Unknown,95,Johns Hopkins University,University,Private,21218,High Energy Physics,2019
Miaofang Chi,Unknown,96,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Basic Energy Sciences,2019
Robert Coridan,Male,18,University of Arkansas,University,Other,72701,Nuclear Physics,2019
Scott Cushing,Male,38,California Institute of Technology,University,Private,91125,Basic Energy Sciences,2019
Shudipto Konika Dishari,Unknown,12,University of Nebraska-Lincoln,University,Other,68583,Nuclear Physics,2019
Thomas Dumitrescu,Male,24,"University of California, Los Angeles",University,State/Public,90095,High Energy Physics,2019
Cora Dvorkin,Female,54,Harvard University,University,Ivy League,02138,High Energy Physics,2019
Tim Eifler,Male,89,University of Arizona,University,Other,85721,High Energy Physics,2019
David Flaherty,Male,43,University of Illinois,University,Other,61820,High Energy Physics,2019
Greeshma Gadikota,Unknown,25,Cornell University*,University,Ivy League,14850,Nuclear Physics,2019
Diana Gamzina,Female,22,SLAC National Accelerator Laboratory,National Lab,,94025,High Energy Physics,2019
Arianna Gleason,Female,28,SLAC National Accelerator Laboratory,National Lab,,94025,Fusion Energy Sciences,2019
Sowjanya Gollapinni,Unknown,N/A,University of Tennessee,University,Other,37996,Fusion Energy Sciences,2019
Karl D. Hammond,Male,27,University of Missouri,University,Other,65211,High Energy Physics,2019
Scott Hertel,Male,52,"University of Massachusetts, Amherst",University,Other,01003,Nuclear Physics,2019
Jier Huang,Unknown,41,Marquette University,University,Other,53201,Basic Energy Sciences,2019
Stratos Idreos,Male,43,Harvard University,University,Ivy League,02138,Basic Energy Sciences,2019
Laura Jeanty,Female,N/A,University of Oregon,University,Other,97403,Advanced Scientific Computing Research,2019
M. Benjamin Jungfleisch,Unknown,37,University of Delaware,University,Other,19716,High Energy Physics,2019
Jyoti Katoch,Female,20,Carnegie Mellon University,University,Other,15213,Basic Energy Sciences,2019
Kibaek Kim,Unknown,15,Argonne National Laboratory (ANL),National Lab,,60439,Advanced Scientific Computing Research,2019
Elisabeth Krause,Female,82,University of Arizona,University,Other,85721,High Energy Physics,2019
Isaac J. Larsen,Male,N/A,University of Massachusetts – Amherst,University,Other,01003,High Energy Physics,2019
David T. Limmer,Male,39,"University of California, Berkeley",University,State/Public,97410,Basic Energy Sciences,2019
Lucas Lindsay,Male,50,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Basic Energy Sciences,2019
Cara Lubner,Female,N/A,National Renewable Energy Laboratory (NREL),National Lab,,80401,Basic Energy Sciences,2019
Joseph M. Lukens,Male,27,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Basic Energy Sciences,2019
Pedro Machado,Male,65,Fermi National Accelerator Laboratory (FNAL),National Lab,,60510,High Energy Physics,2019
Vladimir Manucharyan,Male,N/A,University of Maryland,University,Other,20742,Advanced Scientific Computing Research,2019
Jared Maxson,Male,29,Cornell University,University,Ivy League,14850,Basic Energy Sciences,2019
Ryan McBride,Male,36,University of Michigan,University,State/Public,48109,Fusion Energy Sciences,2019
Josh Michener,Male,18,Oak Ridge National Laboratory,National Lab,,37830,Biological and Environmental Research,2019
Kathryn Mohror,Female,29,Lawrence Livermore National Laboratory,National Lab,,94551,Advanced Scientific Computing Research,2019
Brad Ramshaw,Male,37,Cornell University,University,Ivy League,14850,Nuclear Physics,2019
Cindy Rubio Gonzalez,Female,20,"University of California, Davis",University,Other,95618,Advanced Scientific Computing Research,2019
Ashkan Salamat,Unknown,26,University of Nevada,University,Other,89154,Basic Energy Sciences,2019
