Name,Gender,Institution,Category,Subcategory,h-index
Manthiram,Unknown,Massachusetts Institute of Technology,University,Private,172
Elijah H. Martin,Male,Oak Ridge National Laboratory,National Lab,,14
Jarad A. Mason,Unknown,Harvard University,University,Ivy League,47
Phillip Milner,Male,Cornell University,University,Ivy League,29
Michael Mooney,Male,Colorado State University,University,Other,204
Gary F. Moore,Male,Arizona State University,University,Other,32
Bogdan Nicolae,Male,Argonne National Laboratory,National Lab,,24
Erin E Nuccio,Female,Lawrence Livermore National Laboratory,National Lab,,22
Brendan O'Shea,Male,SLAC National Accelerator Laboratory,National Lab,,21
Christina M. Patricola,Female,Iowa State University,University,Other,37
Bei Wang Phillips,Unknown,University of Utah,University,Other,28
Kemp Plumb,Unknown,Brown University,University,Ivy League,15
David Radice,Male,The Pennsylvania State University,University,Other,55
Simon Roux,Male,Lawrence Berkeley National Laboratory,National Lab,,67
Justin B. Sambur,Male,Colorado State University,University,Other,N/A
Lado Samushia,Male,Kansas State University,University,Other,55
Bayrammurad Saparov,Unknown,University of Oklahoma,University,Other,40
Nobuo Sato,Male,Thomas Jefferson National Accelerator Facility,National Lab,,37
Phiala Shanahan,Unknown,Massachusetts Institute of Technology,University,Private,38
James Shepherd,Male,University of Iowa,University,Other,21
Louise Skinnari,Female,Northeastern University,University,Other,220
Douglas Stanford,Male,Board of Trustees of the Leland Stanford Junior University,University,Other,171
Benjamin N. Sulman,Male,Oak Ridge National Laboratory,National Lab,,31
Dali Sun,Female,North Carolina State University,University,Other,26
Wenhao Sun,Unknown,University of Michigan,University,State/Public,57
Nathaniel Trask,Male,Sandia National Laboratories,National Lab,,26
Michael A. Troxel,Male,Duke University,University,Private,N/A
Wim M. van Rees,Male,Massachusetts Institute of Technology,University,Private,15
Tuo Wang,Unknown,Louisiana State University,University,Other,40
Chen Wang,Unknown,"University of Massachusetts, Amherst",University,Other,54
Stefan M. Wild,Male,"Laboratory for Applied Mathematics, Numerical Software, and Statistics",Unknown,,43
Huolin Xin,Unknown,University of California,University,Other,96
Ming Yi,Unknown,Rice University,University,Private,38
Kevin C. Young,Male,Sandia National Laboratories,National Lab,,N/A
Tong Zhou,Unknown,Lawrence Berkeley National Laboratory,National Lab,,61
Corey Adams,Male,Argonne National Laboratory,National Lab,,42
Ariful Azad,Unknown,Indiana University,University,Other,26
Marcel D. Baer,Male,Pacific Northwest National Laboratory,National Lab,,N/A
Miles F. Beaux II,Male,Los Alamos National Laboratory,National Lab,,N/A
Matthew T. Beidler,Male,Oak Ridge National Laboratory,National Lab,,N/A
Lindsey Bleem,Female,Argonne National Laboratory,National Lab,,82
Mark D. Boyer II,Male,Princeton Plasma Physics Laboratory,National Lab,,N/A
Penghui Cao,Unknown,"University of California, Irvine",University,Other,25
Si Chen,Unknown,Argonne National Laboratory,National Lab,,53
Benjamin J. Cole,Male,Lawrence Berkeley National Laboratory,National Lab,,N/A
Riccardo Comin,Male,Massachusetts Institute of Technology,University,Private,86
Melina Avila Coronado,Female,Argonne National Laboratory,National Lab,,N/A
Heather Crawford,Female,Lawrence Berkeley National Laboratory,National Lab,,35
Melissa A. Cregger,Female,Oak Ridge National Laboratory,National Lab,,N/A
Anup K. Das,Unknown,Drexel University,University,Other,37
Sheng Di,Unknown,Argonne National Laboratory,National Lab,,40
Gregory Doerk,Male,Brookhaven National Laboratory,National Lab,,26
J. Matthew Durham,Unknown,Los Alamos National Laboratory,National Lab,,99
Manuel Endres,Male,California Institute of Technology,University,Private,30
Netta Engelhardt,Female,Massachusetts Institute of Technology,University,Private,24
Mengjia Gaowei,Unknown,Brookhaven National Laboratory,National Lab,,16
Mona Ghassemi,Female,Virginia Polytechnic Institute and State University,University,Other,29
Loren Greenman,Male,Kansas State University,University,Other,N/A
Xiaodan Gu,Unknown,The University of Southern Mississippi,University,Other,56
Philip Harris,Male,Massachusetts Institute of Technology,University,Private,63
Kai He,Male,Clemson University,University,Other,38
Russell J. Hewett,Male,Virginia Polytechnic Institute and State University,University,Other,8
Edward G. Hohenstein,Male,SLAC National Accelerator Laboratory,National Lab,,48
Jin Hu,Female,University of Arkansas,University,Other,95
Shu Hu,Unknown,Yale University,University,Ivy League,54
Gabriel Isaacman-VanWertz,Male,Virginia Polytechnic Institute and State University,University,Other,35
Katherine Isaacs,Female,The University of Arizona,University,Other,18
Andrew Jayich,Male,"University of California, Santa Barbara",University,Other,19
Christopher Johnson,Male,Stony Brook University,University,Other,70
Jovan Kamcev,Male,University of Michigan,University,State/Public,27
Drew P. Kouri,Male,Sandia National Laboratories,National Lab,,N/A
Roopali Kukreja,Unknown,University of California Davis,University,Other,22
James Letts,Male,"University of California, Davis",University,Other,18
Xinle Li,Unknown,Clark Atlanta University,University,Other,33
Mingda Li,Unknown,Massachusetts Institute of Technology,University,Private,30
Fankang Li,Unknown,Oak Ridge National Laboratory,National Lab,,15
Tongyan Lin,Unknown,"University of California, San Diego",University,State/Public,N/A
Ben Loer,Male,Pacific Northwest National Laboratory,National Lab,,N/A
Xueying Lu,Unknown,Northern Illinois University,University,Other,10
Tara Mastren,Female,University of Utah,University,Other,20
Emma Elizabeth McBride,Female,SLAC National Accelerator Laboratory,National Lab,,23
Charles C. L. McCrory,Male,University of Michigan,University,State/Public,N/A
Julia A. Mundy,Female,Harvard University,University,Ivy League,30
Guangxin Ni,Unknown,Florida State University,University,Other,27
Brian Nord,Male,Fermi National Accelerator Laboratory,National Lab,,73
Simone Pagan Griso,Female,Lawrence Berkeley National Laboratory,National Lab,,24
Diana Parno,Female,Carnegie Mellon University,University,Other,38
Maria Piarulli,Female,Washington University in St. Louis,University,Private,22
Craig Plaisance,Male,Louisiana State University,University,Other,15
Diana Y. Qiu,Female,Yale University,University,Ivy League,28
Mohammad Javad Abdolhosseini Qomi,Male,University of California Irvine,University,Other,31
Kiersten Ruisard,Female,Oak Ridge National Laboratory,National Lab,,6
Robert Saye,Male,Lawrence Berkeley National Laboratory,National Lab,,13
Srimoyee Sen,Unknown,Iowa State University,University,Other,15
Christo S. Sevov,Unknown,The Ohio State University,University,State/Public,N/A
Chun Shen,Unknown,Wayne State University,University,Other,54
Daisuke Shiraki,Male,Oak Ridge National Laboratory,National Lab,,31
Indara Suarez,Unknown,Boston University,University,Other,4
Nathan Tallent,Male,Pacific Northwest National Laboratory,National Lab,,21
Aditya V. Thakur,Male,"University of California, Davis",University,Other,20
V. Sara Thoi,Unknown,Johns Hopkins University,University,Private,24
Marcos Turqueti,Male,Lawrence Berkeley National Laboratory,National Lab,,14
Petros Tzeferacos,Male,University of Rochester,University,Other,25
Caterina Vernieri,Female,SLAC National Accelerator Laboratory,National Lab,,N/A
Hao-Yi Wu,Unknown,Boise State University,University,Other,31
Dianne Xiao,Female,University of Washington,University,State/Public,22
Jie Xu,Unknown,"University of Texas, El Paso",University,Other,32
Xue Zheng,Unknown,Lawrence Livermore National Laboratory,National Lab,,66
Qiang Zhu,Unknown,University of Nevada Las Vegas,University,Other,42
